County,CrimesPer100K,Pop100K,Physicians,HSGrad,Bachelors,Poverty,Unemploy,Region
"Brazos, TX",67.314,1.21862,170,79.8,35.8,14.9,3.6,S
"Oswego, NY",29.416,1.21771,79,74.7,12.9,8.1,10,NE
"Franklin, PA",26.057,1.21082,136,69.4,12.4,5.7,6.7,NE
"Mercer, PA",22.95,1.21003,150,75.1,13.6,10.1,7.2,NE
"Aiken, SC",56.516,1.2094,128,70.7,17.2,11,4.9,S
"Hawaii, HI",60.058,1.20317,182,77.7,18.5,10.9,4,W
"New_Hanover, NC",98.866,1.20284,297,78.1,21.2,9.9,5.9,S
"Merrimack, NH",27.707,1.20005,237,83.2,25.4,3.6,7.1,NE
"Delaware, IN",8.892,1.19659,217,74.5,16.5,10.3,6.1,NC
"Taylor, TX",56.705,1.19655,204,75.4,20.7,11.2,5.9,S
"Humboldt, CA",48.162,1.19118,207,80.5,20,12.8,8.8,W
"Ector, TX",123.119,1.18934,153,66.9,11.4,16.6,6.6,S
"Stearns, MN",34.523,1.18791,199,78.3,17.5,7.3,5.4,NC
"Lycoming, PA",32.23,1.1871,232,74.5,12.3,8.4,8,NE
"Rutherford, TN",51.21,1.1857,133,73.9,18.7,7.6,5.4,S
"Catawba, NC",57.68,1.18412,179,66.7,14.2,4.8,6.4,S
"Macon, IL",52.071,1.17206,171,76.2,14.8,9.8,8.9,NC
"Pinal, AZ",53.919,1.16379,61,65.5,8.2,18.7,7.9,W
"Calhoun, AL",42.238,1.16034,133,67.4,14.2,11.7,7.3,S
"Kennebec, ME",36.099,1.15904,241,78.9,18.1,7.3,6.8,NE
"Livingston, MI",32.513,1.15645,68,85.6,19.6,3,8.1,NC
"Marathon, WI",31.672,1.154,172,75.9,13.5,5.5,5.9,NC
"Jackson, MS",41.452,1.15243,170,74.4,14.4,14,7.1,S
"Florence, SC",73.646,1.14344,211,64.3,14.8,15.9,5.9,S
"Lebanon, PA",25.663,1.13744,162,70,11.8,5.2,5.9,NE
"Yellowstone, MT",34.201,1.13419,262,83.7,21.5,9,5.3,W
"Washington, AR",53.982,1.13409,208,73.2,20,9.8,3.7,S
"Wood, OH",33.186,1.13269,128,83.8,21.9,5,6.6,NC
"Benton, WA",55.517,1.1256,142,83.9,23.3,8.9,6.8,W
"Boone, MO",48.55,1.12379,746,84.8,36.5,9.3,3.2,NC
"St._Lawrence, NY",34.392,1.11974,132,73.1,15.1,12.8,9.8,NE
"Bay, MI",43.402,1.11723,101,74,11,10.2,9.2,NC
"Comanche, OK",53.63,1.11486,127,81.1,18.4,13.3,6.6,S
"Alexandria_City, VA",76.783,1.11183,652,86.9,48.5,4.7,4.6,S
"Kent, DE",52.67,1.10993,123,73.1,15,8.7,7.6,NE
"Charlotte, FL",33.71,1.10975,183,75.7,13.4,5.2,7.2,S
"Jefferson, NY",27.618,1.10943,124,76.4,13.6,9.5,11,NE
"Napa, CA",45.646,1.10765,345,80.7,22.3,4.6,5.9,W
"Rowan, NC",47.313,1.10605,114,66,11.7,6.8,5.4,S
"Washington, RI",34.889,1.10006,162,82.8,29.1,3.7,6.7,NE
"Allen, OH",43.132,1.09755,168,76.1,11.4,10.4,7.3,NC
"Imperial, CA",73.575,1.09303,82,53.2,9.7,20.8,21.3,W
"Monroe, IN",15.205,1.08978,172,82.1,32.9,9.5,3.7,NC
"Hamilton, IN",15.596,1.08936,257,88.7,36.2,2.6,2.8,NC
"Columbiana, OH",8.294,1.08276,80,71.8,8.5,13,6.7,NC
"Alamance, NC",38.369,1.08213,132,67.9,14.6,6,4.5,S
"Pitt, NC",42.65,1.07924,496,71,21.9,15.5,5.5,S
"Hunterdon, NJ",19.188,1.07776,184,85.9,34.6,1.8,4.1,NE
"Osceola, FL",89.717,1.07728,98,73.7,11.2,6.9,6.7,S
"Yavapai, AZ",36.69,1.07714,114,78.9,17.7,9.8,5.4,W
"La_Porte, IN",56.236,1.07066,149,73.9,11.7,7.8,5.8,NC
"La_Salle, IL",27.892,1.06913,104,73.1,10.5,8.7,9.6,NC
"Yuma, AZ",50.648,1.06895,118,64.9,12.7,15.4,17.8,W
"Midland, TX",70.781,1.06611,139,76.8,26.4,11.5,5.4,S
"Randolph, NC",27.594,1.06546,69,62,9.1,6.5,4.8,S
"Olmsted, MN",40.481,1.0647,1814,88,29.5,4.5,3.3,NC
"Vigo, IN",32.373,1.06107,179,76,18.1,10.7,5,NC
"Clay, FL",43.025,1.05986,164,81.2,17.9,5.4,5.9,S
"Androscoggin, ME",38.192,1.05259,198,71.8,12.6,8.7,9.7,NE
"Robeson, NC",41.054,1.05179,83,57,11,20.7,8.9,S
"Gregg, TX",87.481,1.04948,166,75.8,17.7,13.4,8.2,S
"Wayne, NC",44.733,1.04666,113,71.2,12.7,11.9,7.3,S
"Strafford, NH",35.027,1.04233,139,79.8,21.7,5.1,6.5,NE
"Sheboygan, WI",42.675,1.03877,114,77.4,13.8,4.5,5.6,NC
"Fairfield, OH",6.041,1.03461,86,78.8,15.5,6.8,6.3,NC
"Sumner, TN",31.806,1.03281,96,70.6,14.4,7,6.8,S
"Cass, ND",33.06,1.02874,343,87.1,26.5,7.3,2.5,NC
"Sumter, SC",69.546,1.02637,88,69.8,15,16.9,9.4,S
"Sarpy, NE",26.213,1.02583,39,91,25.4,3.5,2.6,NC
"Windham, CT",13.626,1.02525,123,71.1,16.8,6,9.2,NE
"Kings, CA",43.846,1.01469,82,65.6,9,15,12.8,W
"Wayne, OH",23.428,1.01461,84,73.6,13.9,8.4,5.9,NC
"Charles, MD",52.188,1.01154,67,81,16.2,3.7,4.9,S
"Hernando, FL",43.653,1.01115,98,70.5,9.7,7.9,8.2,S
"Martin, FL",50.357,1.009,193,79.7,20.3,5,9.8,S
"Montgomery, TN",65.046,1.00498,87,77.9,16.5,10.8,8,S
"Maui, HI",71.034,1.00374,192,77,17.8,5.7,3.2,W
"Morgan, AL",46.91,1.00043,122,69.4,15.5,9.4,7.1,S
