"","title","year","test","clean_test","binary","budget_2013","domgross_2013","intgross_2013"
"349","Gunless",2010,"men","men","FAIL",10575495,489308,489308
"350","Harry Potter and the Deathly Hallows: Part 1",2010,"ok-disagree","ok","PASS",133528980,316178791,1021656625
"351","Hot Tub Time Machine",2010,"notalk","notalk","FAIL",38456346,53699864,67522890
"352","How to Train Your Dragon",2010,"ok","ok","PASS",176258254,232427199,528636950
"353","I Am Love",2010,"ok","ok","PASS",10682318,5346997,16164710
"354","Inception",2010,"dubious-disagree","dubious","FAIL",170917095,312539208,889393184
"355","Insidious",2010,"ok-disagree","ok","PASS",1602348,57694294,106685260
"356","Iron Man 2",2010,"ok","ok","PASS",181599413,333751233,666108069
"357","It&#39;s Kind of a Funny Story",2010,"notalk","notalk","FAIL",8545855,6797830,7080589
"358","Kick-Ass",2010,"notalk-disagree","notalk","FAIL",29910492,51351297,104182018
"359","Knight and Day",2010,"men-disagree","men","FAIL",124983125,81637519,280028482
"360","Legion",2010,"ok","ok","PASS",27774028,42908822,73552139
"361","Let Me In",2010,"notalk-disagree","notalk","FAIL",21364637,12962924,30199340
"362","Letters to Juliet",2010,"dubious-disagree","dubious","FAIL",32046955,56650955,84535576
"363","Love and Other Drugs",2010,"men-disagree","men","FAIL",32046955,34575465,109728398
"364","Machete",2010,"ok","ok","PASS",13352898,28408179,47356808
"365","Made In Dagenham",2010,"ok","ok","PASS",8545855,1170108,16711628
"366","Meek&#39;s Cutoff",2010,"men","men","FAIL",2136464,1044487,1997517
"367","Megamind",2010,"nowomen-disagree","nowomen","FAIL",138870139,158542540,343850165
"368","Monsters",2010,"nowomen-disagree","nowomen","FAIL",534116,253492,6024539
"369","Morning Glory",2010,"ok","ok","PASS",42729274,33127720,64137680
"370","Nanny McPhee and the Big Bang",2010,"ok","ok","PASS",37388114,31189851,104472930
"371","Never Let Me Go",2010,"ok","ok","PASS",16023478,2600773,12294827
"372","Paranormal Activity 2",2010,"ok","ok","PASS",3204696,90535754,189624005
"373","Percy Jackson &amp; the Olympians: The Lightning Thief",2010,"dubious-disagree","dubious","FAIL",101482025,94825128,241919399
"374","Please Give",2010,"ok","ok","PASS",3204696,4308792,4882010
"375","Predators",2010,"nowomen","nowomen","FAIL",42729274,55548791,135915826
"376","Prince of Persia: The Sands of Time",2010,"nowomen","nowomen","FAIL",213646368,96952376,357921415
"377","Rabbit Hole",2010,"ok","ok","PASS",5341159,2381151,6238038
"378","Ramona and Beezus",2010,"ok","ok","PASS",16023478,27952425,29343924
"379","Red",2010,"men-disagree","men","FAIL",64093910,96546967,209843135
"380","Remember Me",2010,"ok","ok","PASS",17091709,20369301,60361637
"381","Repo Men",2010,"ok","ok","PASS",34183419,14893296,19436733
"382","Robin Hood",2010,"dubious-disagree","dubious","FAIL",224328687,112684730,344460978
"383","Salt",2010,"ok-disagree","ok","PASS",138870139,126383971,315890541
"384","Scott Pilgrim vs. the World",2010,"ok","ok","PASS",90799707,33768214,51371013
"385","Secretariat",2010,"ok","ok","PASS",37388114,63772921,64495830
"386","Sex and the city 2",2010,"ok","ok","PASS",101482025,101853441,314787390
"387","Shrek Forever After",2010,"notalk","notalk","FAIL",176258254,255026238,807844640
"388","Shutter Island",2010,"notalk","notalk","FAIL",85458547,136747492,317084404
"389","Skyline",2010,"dubious","dubious","FAIL",10682318,22877632,84062765
"390","Somewhere",2010,"dubious-disagree","dubious","FAIL",7477623,1907483,15367204
"391","Submarine",2010,"notalk","notalk","FAIL",2029641,499507,4894571
"392","Super",2010,"notalk","notalk","FAIL",2670580,350077,553731
"393","Takers",2010,"notalk","notalk","FAIL",34183419,61684749,75403567
"394","Tangled",2010,"ok","ok","PASS",277740279,214524387,626605502
"395","The A-Team",2010,"nowomen-disagree","nowomen","FAIL",117505503,82491105,189334662
"396","The Back-up Plan",2010,"ok","ok","PASS",37388114,40048019,80417752
"397","The Chronicles of Narnia: The Voyage of the Dawn Treader",2010,"ok-disagree","ok","PASS",165575935,111509464,446720616
"398","The Conspirator",2010,"dubious","dubious","FAIL",26705796,12325477,16992803
"399","The Crazies",2010,"ok","ok","PASS",20296405,41793064,58705899
"400","The Debt",2010,"ok","ok","PASS",21364637,33304850,49783934
"401","The Expendables",2010,"notalk","notalk","FAIL",87595011,110101079,286572606
"402","The Fighter",2010,"men","men","FAIL",11750550,100004670,138082199
"403","The Ghost Writer",2010,"men","men","FAIL",48070433,16601978,70003894
"404","The Illusionist",2010,"nowomen","nowomen","FAIL",17625825,42588953,89509349
"405","The Karate Kid",2010,"dubious-disagree","dubious","FAIL",42729274,188640789,383593100
"406","The Kids Are All Right",2010,"ok","ok","PASS",4272927,22231363,38750611
"407","The Killer Inside Me",2010,"notalk","notalk","FAIL",13887014,232102,3864090
"408","The King&#39;s Speech",2010,"ok-disagree","ok","PASS",16023478,148267855,460216888
"409","The Last Airbender",2010,"notalk-disagree","notalk","FAIL",160234776,140763246,341528548
"410","The Last Exorcism",2010,"ok","ok","PASS",1922817,43834199,74953449
"411","The Losers",2010,"notalk","notalk","FAIL",26705796,25201119,28536765
"412","The Next Three Days",2010,"ok","ok","PASS",32046955,22591662,71844911
"413","The Other Guys",2010,"nowomen-disagree","nowomen","FAIL",106823184,127354577,182599780
"414","The Runaways",2010,"ok","ok","PASS",10148202,3817511,5638803
"415","The Social Network",2010,"notalk-disagree","notalk","FAIL",42729274,103578637,240268986
"416","The Sorcerer&#39;s Apprentice",2010,"notalk","notalk","FAIL",170917095,67459899,229831139
"417","The Spy Next Door",2010,"ok","ok","PASS",29910492,25965625,54462053
"418","The Switch",2010,"men","men","FAIL",20296405,29652476,53260400
"419","The Tempest",2010,"ok","ok","PASS",21364637,296908,296908
"420","The Tourist",2010,"nowomen","nowomen","FAIL",106823184,72245755,297749724
"421","The Town",2010,"notalk","notalk","FAIL",39524578,98476300,162976800
"422","The Twilight Saga: Eclipse",2010,"ok-disagree","ok","PASS",72639765,321037586,747325041
"423","The Wolfman",2010,"notalk-disagree","notalk","FAIL",160234776,66433214,152366563
"424","Tiny Furniture",2010,"ok","ok","PASS",53412,418399,453089
"425","Toy Story 3",2010,"dubious-disagree","dubious","FAIL",213646368,443321427,1136341723
"426","Tron Legacy",2010,"notalk-disagree","notalk","FAIL",213646368,183802922,424689202
"427","True Grit",2010,"ok-disagree","ok","PASS",37388114,182927231,269490247
"428","Tucker and Dale vs Evil",2010,"ok","ok","PASS",5341159,239111,5850485
"429","Unstoppable",2010,"dubious","dubious","FAIL",101482025,87128132,181077698
"430","Valentine&#39;s Day",2010,"ok","ok","PASS",55548056,118024294,232414484
"431","Wall Street: Money Never Sleeps",2010,"dubious-disagree","dubious","FAIL",74776229,56055056,146808831
"432","Welcome to the Rileys",2010,"ok","ok","PASS",10682318,163287,334204
"433","Wild Target",2010,"notalk","notalk","FAIL",8545855,116798,116798
"434","Winter&#39;s Bone",2010,"ok-disagree","ok","PASS",2136464,6977159,17232238
"435","Womb",2010,"ok","ok","PASS",13887014,NA,NA
"436","Yogi Bear",2010,"nowomen","nowomen","FAIL",85458547,107085981,216086548
"437","You Again",2010,"ok","ok","PASS",21364637,27455751,35079607
"438","You Will Meet a Tall Dark Stranger",2010,"ok","ok","PASS",16023478,3469420,36584608
"439","(500) Days of Summer",2009,"notalk-disagree","notalk","FAIL",8142987,35168338,66015966
"440","17 Again",2009,"ok-disagree","ok","PASS",43429264,69668214,151432312
"441","2012",2009,"notalk-disagree","notalk","FAIL",217146319,180353228,856000062
"442","9",2009,"nowomen","nowomen","FAIL",32571948,34471863,52723125
"443","A Perfect Getaway",2009,"dubious-disagree","dubious","FAIL",15200242,16845625,24771466
"444","A Serious Man",2009,"men","men","FAIL",7600121,10019987,32963430
"445","A Single Man",2009,"notalk","notalk","FAIL",7600121,9962673,30555070
"446","Adam",2009,"men","men","FAIL",3474341,2472641,3071090
"447","Adventureland",2009,"men-disagree","men","FAIL",10640170,17419505,18613810
"448","Agora",2009,"notalk","notalk","FAIL",76001212,672527,42335163
"449","Ajami",2009,"men-disagree","men","FAIL",1085732,675172,675172
"450","All About Steve",2009,"ok","ok","PASS",16285974,36766024,43567433
"451","An Education",2009,"ok","ok","PASS",8142987,13652981,32194912
"452","Angels &amp; Demons",2009,"nowomen","nowomen","FAIL",162859739,144810370,532959416
"453","Armored",2009,"nowomen","nowomen","FAIL",21714632,17359628,25689537
"454","Astro Boy",2009,"dubious","dubious","FAIL",70572554,21227211,47873178
"455","Avatar",2009,"men-disagree","men","FAIL",461435929,825707158,3022588801
"456","Away We Go",2009,"ok","ok","PASS",22800364,10262276,10974592
"457","Br&uuml;no",2009,"nowomen-disagree","nowomen","FAIL",45600727,65203101,142000928
"458","Bride Wars",2009,"ok","ok","PASS",32571948,63749284,125022454
"459","Bright Star",2009,"ok","ok","PASS",9228719,4825683,18740466
"460","Brooklyn&#39;s Finest",2009,"notalk","notalk","FAIL",18457437,29492371,42596761
"461","Brothers",2009,"ok","ok","PASS",28229022,30991293,48905553
"462","Capitalism: A Love Story",2009,"notalk-disagree","notalk","FAIL",21714632,15594794,20760850
"463","Case 39",2009,"ok","ok","PASS",29314753,14398811,31814980
"464","Chloe",2009,"men-disagree","men","FAIL",14114511,3338902,10504640
"465","Cloudy with a Chance of Meatballs",2009,"notalk-disagree","notalk","FAIL",108573160,135575603,257131292
"466","Coco avant Chanel",2009,"ok","ok","PASS",24971827,6637983,55170185
"467","Coraline",2009,"ok","ok","PASS",65143896,81740638,136842415
"468","Daybreakers",2009,"notalk","notalk","FAIL",21714632,32682233,55808316
"469","Dead Snow",2009,"men-disagree","men","FAIL",868585,50749,2382117
"470","District 9",2009,"notalk-disagree","notalk","FAIL",32571948,125560771,233645777
"471","Drag Me to Hell",2009,"ok","ok","PASS",32571948,45709979,99223368
"472","Enter the Void",2009,"notalk","notalk","FAIL",17371706,366974,366974
"473","Everybody&#39;s Fine",2009,"men","men","FAIL",21714632,9998368,9998368
"474","Fantastic Mr. Fox",2009,"notalk","notalk","FAIL",43429264,22803533,50485349
"475","Fast &amp; Furious",2009,"notalk","notalk","FAIL",92287186,168358172,394190344
"476","Fired Up!",2009,"notalk","notalk","FAIL",21714632,18708557,20203912
"477","Fish Tank",2009,"ok","ok","PASS",3257195,406796,6430020
"478","Friday the 13th",2009,"men","men","FAIL",18457437,70574746,99562425
"479","Funny People",2009,"notalk","notalk","FAIL",78715541,56300661,78042718
"480","G-Force",2009,"notalk","notalk","FAIL",162859739,129676275,312028062
"481","G.I. Joe: The Rise of Cobra",2009,"notalk-disagree","notalk","FAIL",190003029,163078512,328400169
"482","Gamer",2009,"notalk","notalk","FAIL",54286580,22295397,38068663
"483","Get Low",2009,"notalk-disagree","notalk","FAIL",7600121,9963686,10528267
"484","Harry Brown",2009,"notalk","notalk","FAIL",7925841,1974599,6833747
"485","Harry Potter and the Half-Blood Prince",2009,"ok-disagree","ok","PASS",271432899,327846641,1014525504
"486","He&#39;s Just Not That Into You",2009,"ok","ok","PASS",43429264,102008450,193683923
"487","I Come with the Rain",2009,"nowomen","nowomen","FAIL",19543169,NA,681212
"488","I Love You Phillip Morris",2009,"notalk-disagree","notalk","FAIL",14114511,2212134,16443063
"489","I Love You, Man",2009,"men-disagree","men","FAIL",43429264,77564677,99593620
"490","Ice Age: Dawn of the Dinosaurs",2009,"notalk","notalk","FAIL",97715844,213426283,963009937
"491","Inglourious Basterds",2009,"dubious-disagree","dubious","FAIL",76001212,131190089,344146212
"492","Invictus",2009,"notalk","notalk","FAIL",53200848,40705558,135164207
"493","It&#39;s Complicated",2009,"ok","ok","PASS",92287186,122400359,243871325
"494","Jennifer&#39;s Body",2009,"ok","ok","PASS",17371706,17594056,35646920
"495","Julie &amp; Julia",2009,"ok","ok","PASS",43429264,102194949,137503693
"496","Knowing",2009,"notalk","notalk","FAIL",54286580,86812530,203964063
"497","Law Abiding Citizen",2009,"notalk-disagree","notalk","FAIL",57543775,79646802,142404318
"498","Life During Wartime",2009,"ok","ok","PASS",4885792,305576,305576
"499","Micmacs (Micmacs &agrave; tire-larigot)",2009,"dubious","dubious","FAIL",45600727,1367688,12764862
"500","Monsters vs Aliens",2009,"dubious-disagree","dubious","FAIL",190003029,215356519,414410048
"501","Moon",2009,"notalk-disagree","notalk","FAIL",5428658,5439692,11591350
"502","Mother and Child",2009,"ok","ok","PASS",7600121,1205715,5440068
"503","My Bloody Valentine 3D",2009,"men","men","FAIL",15200242,55965069,111564348
"504","My Sister&#39;s Keeper",2009,"ok","ok","PASS",29857619,53418244,104960933
"505","Nine",2009,"men-disagree","men","FAIL",86858528,21363903,58096258
"506","Ninja Assassin",2009,"notalk-disagree","notalk","FAIL",54286580,41391219,66905911
"507","Nowhere Boy",2009,"dubious","dubious","FAIL",2062890,1569280,8452669
"508","Ondine",2009,"ok","ok","PASS",13028779,597665,597665
"509","Paa",2009,"men","men","FAIL",4668646,216308,10630704
"510","Pandorum",2009,"notalk","notalk","FAIL",43429264,11216534,18493734
"511","Perrier&#39;s Bounty",2009,"nowomen","nowomen","FAIL",7165829,899,899
"512","Planet 51",2009,"notalk","notalk","FAIL",65143896,45811424,118340524
"513","Precious: Based on the Novel Push by Sapphire",2009,"ok","ok","PASS",10857316,51644478,74614567
"514","Public Enemies",2009,"notalk","notalk","FAIL",111287489,105429554,228416195
"515","Push",2009,"ok","ok","PASS",41257801,34538780,48218998
"516","Sherlock Holmes",2009,"notalk","notalk","FAIL",97715844,226949041,541170116
"517","Splice",2009,"ok","ok","PASS",32571948,18468479,24386618
"518","Star Trek",2009,"ok-disagree","ok","PASS",152002424,279825625,418745446
"519","State of Play",2009,"ok","ok","PASS",65143896,40191563,99285148
"520","Surrogates",2009,"notalk","notalk","FAIL",86858528,41885106,129927709
"521","Terminator Salvation",2009,"men-disagree","men","FAIL",217146319,136066564,403488847
"522","The Blind Side",2009,"men","men","FAIL",38000606,277903289,331914441
"523","The Boat That Rocked",2009,"nowomen-disagree","nowomen","FAIL",54286580,8704817,40685241
"524","The Boondock Saints II: All Saints Day",2009,"nowomen","nowomen","FAIL",8685853,11153924,11153924
"525","The Box",2009,"ok","ok","PASS",27143290,16342407,28600229
"526","The City of Your Final Destination",2009,"ok-disagree","ok","PASS",9011572,535587,1469316
"527","The Final Destination",2009,"ok","ok","PASS",43429264,72176939,203449410
"528","The Fourth Kind",2009,"ok","ok","PASS",10857316,28465896,53729463
"529","The Girl with the Dragon Tattoo",2009,"dubious-disagree","dubious","FAIL",97715844,111304636,253160295
"530","The Girlfriend Experience",2009,"dubious","dubious","FAIL",1411451,755495,1092072
"531","The Good Guy",2009,"ok","ok","PASS",10857316,109320,109320
"532","The Hangover",2009,"notalk","notalk","FAIL",38000606,301097804,509809040
"533","The Imaginarium of Doctor Parnassus",2009,"notalk","notalk","FAIL",32571948,8348849,69869659
"534","The Informant!",2009,"notalk","notalk","FAIL",23886095,36173125,45352277
"535","The Invention of Lying",2009,"men","men","FAIL",20086035,20033106,35480909
"536","The Last Station",2009,"ok","ok","PASS",19543169,7185227,17041802
"537","The Lovely Bones",2009,"ok","ok","PASS",103144502,47896216,103029901
"538","The Men Who Stare at Goats",2009,"nowomen","nowomen","FAIL",26057558,35208316,73122088
"539","The Messenger",2009,"notalk","notalk","FAIL",7057255,1204793,1530512
"540","The Princess and the Frog",2009,"ok","ok","PASS",114001818,113351355,294230416
"541","The Proposal",2009,"men-disagree","men","FAIL",43429264,178014415,341690283
"542","The Road",2009,"notalk-disagree","notalk","FAIL",27143290,8809919,29981685
"543","The Secret of Kells",2009,"nowomen-disagree","nowomen","FAIL",8685853,749470,2823897
"544","The Soloist",2009,"notalk","notalk","FAIL",65143896,34439578,41750888
"545","The Taking of Pelham 123",2009,"nowomen","nowomen","FAIL",119430476,71063643,165426811
"546","The Time Traveler&#39;s Wife",2009,"dubious","dubious","FAIL",42343532,68851502,107125483
"547","The Ugly Truth",2009,"men","men","FAIL",41257801,96538057,222824741
"548","The Unborn",2009,"ok","ok","PASS",17371706,46328612,84913778
"549","The Young Victoria",2009,"ok","ok","PASS",38000606,11944429,34611919
"550","Transformers: Revenge of the Fallen",2009,"ok-disagree","ok","PASS",228003635,436585563,908235868
"551","Up",2009,"notalk","notalk","FAIL",190003029,318123879,794258938
"552","Up in the Air",2009,"men-disagree","men","FAIL",32571948,91009693,181146433
"553","Veronika Decides to Die",2009,"ok","ok","PASS",9771584,NA,NA
"554","Watchmen",2009,"men-disagree","men","FAIL",149830960,116726786,199848831
"555","Whatever Works",2009,"dubious-disagree","dubious","FAIL",16285974,5761658,38116460
"556","Where the Wild Things Are",2009,"notalk","notalk","FAIL",108573160,83854815,107621685
"557","Whip It",2009,"ok","ok","PASS",16285974,14161591,20472719
"558","Whiteout",2009,"ok","ok","PASS",38000606,11156585,13305365
"559","X-Men Origins: Wolverine",2009,"dubious-disagree","dubious","FAIL",162859739,195304827,406960171
"560","Yesterday Was a Lie",2009,"ok","ok","PASS",217146,NA,NA
"561","Youth in Revolt",2009,"notalk-disagree","notalk","FAIL",19543169,16596046,21373265
"562","Zombieland",2009,"ok-disagree","ok","PASS",25623266,82070762,111001503
"563","21",2008,"ok","ok","PASS",37878971,87835235,170836899
"564","Appaloosa",2008,"notalk","notalk","FAIL",21645126,21873909,30016892
"565","Australia",2008,"men","men","FAIL",140693320,53630131,232772564
"566","Baby Mama",2008,"ok","ok","PASS",32467689,65470243,69688090
"567","Be Kind Rewind",2008,"notalk","notalk","FAIL",21645126,12094392,33435494
"568","Bedtime Stories",2008,"ok","ok","PASS",86580505,119158557,236319281
"569","Blindness",2008,"ok","ok","PASS",27056408,3326198,21702440
"570","Bolt",2008,"ok-disagree","ok","PASS",162338447,123435400,339778437
"571","Burn After Reading",2008,"notalk","notalk","FAIL",40043484,65319955,176857711
"572","Changeling",2008,"ok","ok","PASS",59524097,38679626,123166807
"573","Che: Part One",2008,"notalk","notalk","FAIL",62770866,317867,32595998
"574","City of Ember",2008,"ok","ok","PASS",41125740,8519189,12789087
"575","Cloverfield",2008,"ok","ok","PASS",27056408,86632922,184810452
"576","Day of the Dead",2008,"ok","ok","PASS",19480614,NA,NA
"577","Death Race",2008,"notalk","notalk","FAIL",70346660,39303255,78481785
"578","Defiance",2008,"ok","ok","PASS",54112816,31001030,45745616
"579","Definitely, Maybe",2008,"ok","ok","PASS",7575794,34893728,60458935
"580","Doomsday",2008,"ok","ok","PASS",35714458,11914311,23399667
"581","Doubt",2008,"ok","ok","PASS",21645126,36197653,55137666
"582","Eagle Eye",2008,"notalk-disagree","notalk","FAIL",86580505,109784884,192713668
"583","Easy Virtue",2008,"ok","ok","PASS",15151588,2875321,13697884
"584","Fireproof",2008,"men","men","FAIL",541128,36208310,36226687
"585","Fly Me to the Moon",2008,"nowomen","nowomen","FAIL",27056408,15740274,62280329
"586","Forgetting Sarah Marshall",2008,"ok","ok","PASS",32467689,68368797,113824188
"587","Four Christmases",2008,"ok","ok","PASS",86580505,130028810,176998734
"588","Frost/Nixon",2008,"notalk","notalk","FAIL",31385433,20153811,30459656
"589","Frozen River",2008,"ok","ok","PASS",1082256,2718061,6526145
"590","Gake no ue no Ponyo",2008,"ok","ok","PASS",36796715,16331680,222200929
"591","Ghost Town",2008,"notalk","notalk","FAIL",21645126,14342754,28801384
"592","Gran Torino",2008,"men-disagree","men","FAIL",27056408,160277075,297125986
"593","Hamlet 2",2008,"ok","ok","PASS",9740307,5288138,5301200
"594","Hancock",2008,"nowomen","nowomen","FAIL",162338447,246696294,675702695
"595","Herb &amp; Dorothy",2008,"ok","ok","PASS",89286146,82236872,173580993
"596","High School Musical 3: Senior Year",2008,"ok","ok","PASS",11904819,98008500,296963426
"597","Igor",2008,"men","men","FAIL",32467689,21134953,33564393
"598","In Bruges",2008,"notalk","notalk","FAIL",16233845,8442492,37374405
"599","Indiana Jones and the Kingdom of the Crystal Skull",2008,"notalk","notalk","FAIL",200217418,343101064,851257517
"600","Inkheart",2008,"ok","ok","PASS",64935379,18726740,62826552
"601","Iron Man",2008,"men-disagree","men","FAIL",201299674,344811326,630352749
"602","Journey to the Center of the Earth",2008,"notalk","notalk","FAIL",48701534,110070196,260720275
"603","Jumper",2008,"notalk","notalk","FAIL",89286146,87844867,241465674
"604","Kung Fu Panda",2008,"notalk-disagree","notalk","FAIL",140693320,233155446,683889160
"605","L&aring;t den r&auml;tte komma in (Let the Right One In)",2008,"notalk-disagree","notalk","FAIL",4870153,2296640,13255131
"606","Made of Honor",2008,"men","men","FAIL",43290252,49797572,115313044
"607","Max Payne",2008,"ok","ok","PASS",37878971,44034081,92816237
"608","Meet Dave",2008,"notalk","notalk","FAIL",64935379,12774146,54814990
"609","Milk",2008,"notalk-disagree","notalk","FAIL",21645126,34460447,62006112
"610","Miracle at St. Anna",2008,"men","men","FAIL",48701534,8568101,9859851
"611","Nick and Norah&#39;s Infinite Playlist",2008,"ok","ok","PASS",10822563,34077322,36303849
"612","Nim&#39;s Island",2008,"ok","ok","PASS",40043484,51955621,101820495
"613","Pineapple Express",2008,"men","men","FAIL",28138664,94525760,109902346
"614","Pontypool",2008,"nowomen-disagree","nowomen","FAIL",1623384,4183,34541
"615","Possession",2008,"ok","ok","PASS",27056408,10934736,16023683
"616","Prom Night",2008,"ok","ok","PASS",19480614,47477881,61807319
"617","Quantum of Solace",2008,"notalk","notalk","FAIL",248918952,183300049,640362486
"618","Quarantine",2008,"ok","ok","PASS",12987076,34298662,44688323
"619","Rachel Getting Married",2008,"ok","ok","PASS",12987076,13849484,14423083
"620","Revolutionary Road",2008,"ok","ok","PASS",48701534,24796094,86109680
"621","RocknRolla",2008,"notalk","notalk","FAIL",19480614,6169538,30080599
"622","Seven Pounds",2008,"ok","ok","PASS",58441841,75705803,180322655
"623","Sex and the City",2008,"ok","ok","PASS",62229738,165203458,449403966
"624","Slumdog Millionaire",2008,"notalk","notalk","FAIL",15151588,152944384,416148834
"625","Speed Racer",2008,"ok","ok","PASS",129870757,47560583,101076746
"626","Stargate: The Ark of Truth",2008,"dubious-disagree","dubious","FAIL",7575794,NA,NA
"627","Step Brothers",2008,"notalk-disagree","notalk","FAIL",70346660,108732985,139036162
"628","Sunshine Cleaning",2008,"ok","ok","PASS",5411282,13054780,17816707
"629","Synecdoche, New York",2008,"dubious","dubious","FAIL",21645126,3337178,4744112
"630","Taken",2008,"ok","ok","PASS",27056408,156928235,245608963
"631","The Bank Job",2008,"ok","ok","PASS",21645126,32533339,71583685
"632","The Brothers Bloom",2008,"dubious","dubious","FAIL",21645126,3822265,5986778
"633","The Chronicles of Narnia: Prince Caspian",2008,"ok","ok","PASS",243507670,153270751,453996009
"634","The Curious Case of Benjamin Button",2008,"dubious-disagree","dubious","FAIL",173161010,137997773,356938225
"635","The Dark Knight",2008,"dubious-disagree","dubious","FAIL",200217418,577216380,1085385502
"636","The Day the Earth Stood Still",2008,"ok","ok","PASS",86580505,85895413,252238208
"637","The Eye",2008,"ok","ok","PASS",12987076,34003083,61600619
"638","The Forbidden Kingdom",2008,"notalk-disagree","notalk","FAIL",59524097,56358790,139692526
"639","The House Bunny",2008,"ok","ok","PASS",27056408,52205219,76014858
"640","The Hurt Locker",2008,"notalk-disagree","notalk","FAIL",16233845,18417633,53998338
"641","The Incredible Hulk",2008,"notalk","notalk","FAIL",148810243,145895632,285085699
"642","The Lucky Ones",2008,"ok","ok","PASS",15151588,288927,288927
"643","The Other Boleyn Girl",2008,"ok","ok","PASS",43290252,29020656,84107503
"644","The Reader",2008,"notalk","notalk","FAIL",35173330,37007113,122315840
"645","The Secret Life of Bees",2008,"ok","ok","PASS",11904819,40876996,43272961
"646","The Sisterhood of the Traveling Pants 2",2008,"ok","ok","PASS",29220920,47716642,47911629
"647","The Strangers",2008,"dubious-disagree","dubious","FAIL",9740307,56924095,89883201
"648","The Tale of Despereaux",2008,"ok","ok","PASS",64935379,55062111,97925059
"649","The Women",2008,"ok","ok","PASS",17316101,29114940,54225162
"650","The Wrestler",2008,"notalk","notalk","FAIL",6493538,28396504,50470238
"651","Three Kingdoms: Resurrection of the Dragon",2008,"notalk","notalk","FAIL",21645126,NA,23960711
"652","Transsiberian",2008,"ok","ok","PASS",16233845,2384904,6904335
"653","Tropic Thunder",2008,"nowomen","nowomen","FAIL",97403068,119547447,203641087
"654","Twilight",2008,"ok-disagree","ok","PASS",40043484,208626391,430655689
"655","Valkyrie",2008,"notalk","notalk","FAIL",97403068,89911432,220674342
"656","Vicky Cristina Barcelona",2008,"ok","ok","PASS",17316101,25126430,113100998
"657","WALL-E",2008,"notalk-disagree","notalk","FAIL",194806136,242217798,576399965
"658","Waltz with Bashir",2008,"nowomen","nowomen","FAIL",2164513,2471710,12040820
"659","Wanted",2008,"notalk","notalk","FAIL",81169223,145572728,370582375
"660","Welcome Home, Roscoe Jenkins",2008,"dubious","dubious","FAIL",29762049,45927188,47194630
"661","Wendy and Lucy",2008,"ok","ok","PASS",324677,936904,1532525
"662","What Happens In Vegas",2008,"ok","ok","PASS",37878971,86880989,236511649
"663","Yes Man",2008,"notalk-disagree","notalk","FAIL",54112816,105726675,244580160
"664","[Rec]",2007,"ok","ok","PASS",2359441,NA,30468201
"665","1408",2007,"ok","ok","PASS",25279728,80878983,147480104
"666","28 Weeks Later",2007,"ok","ok","PASS",16853152,32177067,72168247
"667","3:10 to Yuma",2007,"nowomen","nowomen","FAIL",53930087,60229701,79964640
"668","30 Days of Night",2007,"men","men","FAIL",33706305,44457488,90193752
"669","88 Minutes",2007,"notalk","notalk","FAIL",33706305,19022584,37026824
"670","Across the Universe",2007,"ok","ok","PASS",50559457,27351175,32995262
"671","Atonement",2007,"ok","ok","PASS",33706305,57278425,146285687
"672","Becoming Jane",2007,"ok","ok","PASS",18538467,20969716,44228231
"673","Beowulf",2007,"ok","ok","PASS",168531522,92349898,219085603
"674","Blades of Glory",2007,"ok","ok","PASS",68536152,133246132,163581806
"675","Bridge to Terabithia",2007,"ok","ok","PASS",28088587,92393631,155031909
"676","Brooklyn Rules",2007,"ok","ok","PASS",8988348,514844,514844
"677","Charlie Bartlett",2007,"men","men","FAIL",13482522,4438327,5950184
"678","Charlie Wilson&#39;s War",2007,"ok","ok","PASS",84265761,74896639,134277795
"679","Death at a Funeral",2007,"ok-disagree","ok","PASS",23594413,48019515,55028051
"680","Diary of the Dead",2007,"ok","ok","PASS",3089745,1070310,6060896
"681","Disturbia",2007,"ok-disagree","ok","PASS",22470870,90119077,132098426
"682","Eastern Promises",2007,"ok","ok","PASS",56177174,19303898,62207616
"683","Enchanted",2007,"ok","ok","PASS",95501196,143484229,382436383
"684","Fantastic Four: Rise of the Silver Surfer",2007,"dubious","dubious","FAIL",134825218,148219809,323822443
"685","Gone Baby Gone",2007,"ok","ok","PASS",21347326,22808178,38896737
"686","Hairspray",2007,"ok","ok","PASS",84265761,133557691,227935344
"687","Halloween",2007,"ok","ok","PASS",16853152,65467925,87090800
"688","Hannibal Rising",2007,"notalk","notalk","FAIL",56177174,31088139,90538854
"689","Harry Potter and the Order of the Phoenix",2007,"ok-disagree","ok","PASS",168531522,328080020,1059438513
"690","Hitman",2007,"nowomen-disagree","nowomen","FAIL",19662011,44590850,112315914
"691","Hostel: Part II",2007,"ok","ok","PASS",8426576,19712359,37758262
"692","Hot Fuzz",2007,"notalk-disagree","notalk","FAIL",17976696,26536733,91841386
"693","Hot Rod",2007,"notalk","notalk","FAIL",28088587,15660322,16105323
"694","I Am Legend",2007,"ok-disagree","ok","PASS",168531522,288068696,657733649
"695","Into the Wild",2007,"notalk","notalk","FAIL",22470870,20621917,63362472
"696","Juno",2007,"ok","ok","PASS",7864804,161223170,260044254
"697","Knocked Up",2007,"ok-disagree","ok","PASS",30897446,167140312,246229599
"698","Lars and the real Girl",2007,"ok","ok","PASS",14044294,6692364,11857251
